Date,Open,High,Low,Close,Change,%Change,Volume
1/11/13,161.86,161.9,160.11,161.06,-0.92,-0.57%,13676600
1/14/13,161.88,161.97,161.13,161.54,0.48,0.30%,7289700
1/15/13,162.8,163.17,162.36,162.56,1.02,0.63%,10085200
1/16/13,162.42,163.03,162.15,162.65,0.09,0.06%,9219200
1/17/13,161.94,164.4,161.83,163.35,0.7,0.43%,14913400
1/18/13,163.95,163.97,163.02,163.09,-0.26,-0.16%,10038800
1/22/13,163.48,164.22,163.37,163.67,0.58,0.36%,8590800
1/23/13,163.92,163.95,163,163.21,-0.46,-0.28%,6698600
1/24/13,161.98,162.27,161.18,161.42,-1.79,-1.10%,13191900
1/25/13,160.56,161.04,160.31,160.65,-0.77,-0.48%,9037700
1/28/13,160.24,160.73,160.02,160.29,-0.36,-0.22%,8497200
1/29/13,161.01,161.31,160.69,160.99,0.7,0.44%,7366400
1/30/13,162.68,163.04,162.03,162.19,1.2,0.75%,12015900
1/31/13,161.62,161.81,160.47,161.2,-0.99,-0.61%,9336000
2/1/13,162.66,162.77,160.87,161.45,0.25,0.16%,12904500
2/4/13,161.19,162.42,161.15,162,0.55,0.34%,7360300
2/5/13,162.75,162.8,161.33,161.96,-0.04,-0.02%,8979300
2/6/13,162.13,162.63,161.99,162.39,0.43,0.27%,6147900
2/7/13,161.24,162.96,161.13,161.84,-0.55,-0.34%,12828500
2/8/13,161.46,162.02,161.2,161.57,-0.27,-0.17%,6086500
2/11/13,159.78,159.98,159.25,159.7,-1.87,-1.16%,12147300
2/12/13,159.35,160.05,158.88,159.89,0.19,0.12%,7632700
2/13/13,159.6,159.64,158.77,159.05,-0.84,-0.53%,8962700
2/14/13,159.31,159.65,158.04,158.35,-0.7,-0.44%,12415000
2/15/13,156.42,156.58,154.56,155.76,-2.59,-1.64%,23374800
2/19/13,155.78,155.84,154.93,155.33,-0.43,-0.28%,11809300
2/20/13,153.9,153.93,150.84,151.44,-3.89,-2.50%,30923900
2/21/13,152,153.41,151.9,152.62,1.18,0.78%,17970000
2/22/13,152.26,152.99,151.93,152.97,0.35,0.23%,10093900
2/25/13,153.52,154.56,153.31,154.34,1.37,0.90%,9488100
2/26/13,154.39,156.8,153.32,156.22,1.88,1.22%,18182700
2/27/13,155.46,155.6,154.08,154.57,-1.65,-1.06%,9604700
2/28/13,154.09,154.16,152.39,153,-1.57,-1.02%,14866400
3/1/13,153.16,153.61,152.14,152.44,-0.56,-0.37%,11179500
3/4/13,152.45,152.74,151.87,152.3,-0.14,-0.09%,6643700
3/5/13,153.1,153.39,152.11,152.38,0.08,0.05%,10805600
3/6/13,152.17,153.38,151.65,153.23,0.85,0.56%,10862600
3/7/13,153.02,153.21,152.4,152.69,-0.54,-0.35%,6593800
3/8/13,151.61,153.29,151.4,152.71,0.02,0.01%,11860000
3/11/13,152.82,153.06,152.65,152.99,0.28,0.18%,4810600
3/12/13,154.07,154.69,153.9,154.19,1.2,0.78%,7265900
3/13/13,154.26,154.6,153.42,153.66,-0.53,-0.34%,7436900
3/14/13,153.02,154.17,153.01,153.68,0.02,0.01%,11420200
3/15/13,154.12,154.72,153.97,154,0.32,0.21%,5701500
